id,question,answer,category,tags
faq_001,Điều kiện mở thẻ tín dụng SHB Visa Platinum là gì?,"Để mở thẻ tín dụng SHB Visa Platinum, khách hàng cần đáp ứng: (1) Thu nhập tối thiểu 30 triệu/tháng (có xác nhận từ đơn vị công tác hoặc bảng lương 3 tháng gần nhất); (2) Tuổi từ 22 đến 65; (3) Không có nợ xấu từ nhóm 2 trở lên tại CIC; (4) CMND/CCCD còn hiệu lực; (5) Hộ khẩu hoặc KT3 tại địa bàn ngân hàng phục vụ.",credit card,điều kiện mở thẻ tín dụng platinum thu nhập
faq_002,Thẻ tín dụng SHB có bao nhiêu ngày miễn lãi?,SHB cung cấp 45 ngày miễn lãi cho tất cả các loại thẻ tín dụng. Thời gian miễn lãi tính từ ngày phát sinh giao dịch đến ngày thanh toán sao kê. Nếu thanh toán toàn bộ dư nợ trước ngày đáo hạn sao kê thì không bị tính lãi.,credit card,miễn lãi thẻ tín dụng ngày ân hạn
faq_003,Làm thế nào để tăng hạn mức thẻ tín dụng?,"Để tăng hạn mức thẻ tín dụng, khách hàng có thể: (1) Đến trực tiếp chi nhánh SHB gần nhất với hồ sơ chứng minh thu nhập mới; (2) Gọi hotline 1800 588 891 để yêu cầu xem xét; (3) Đăng nhập SHB Mobile và gửi yêu cầu online. Điều kiện: sử dụng thẻ ít nhất 6 tháng, không có thanh toán trễ hạn trong 12 tháng gần nhất.",credit card,tăng hạn mức thẻ tín dụng
faq_004,Phí phạt chậm thanh toán thẻ tín dụng là bao nhiêu?,"Phí phạt chậm thanh toán tối thiểu là 6% số tiền tối thiểu phải trả hoặc 100.000 đồng tùy theo số nào lớn hơn. Ngoài ra còn tính lãi phạt 2.5%/tháng trên số dư chưa thanh toán. Khuyến cáo khách hàng cài đặt thanh toán tự động (Auto-debit) để tránh phát sinh phí phạt.",credit card,phí phạt chậm thanh toán lãi phạt
faq_005,Tôi có thể rút tiền mặt từ thẻ tín dụng không?,"Có, thẻ tín dụng SHB cho phép rút tiền mặt tại ATM. Tuy nhiên, phí rút tiền mặt là 4% số tiền rút (tối thiểu 100.000 đồng) và lãi suất tính ngay từ ngày rút (không có thời gian miễn lãi). Hạn mức rút tiền mặt tối đa 50% hạn mức thẻ. Không khuyến khích sử dụng tính năng này vì chi phí cao.",credit card,rút tiền mặt thẻ tín dụng ATM
faq_006,Lãi suất vay mua nhà SHB hiện tại là bao nhiêu?,"Lãi suất vay mua nhà SHB (tháng 7/2026): Ưu đãi 7.5%/năm trong 12 tháng đầu, sau đó lãi suất thả nổi = lãi suất tiết kiệm 12 tháng + biên độ 3-4%/năm (hiện khoảng 10.5-11.5%/năm). Lưu ý lãi suất có thể thay đổi theo chính sách ngân hàng. Liên hệ chi nhánh để được báo lãi suất chính xác tại thời điểm vay.",home loan,lãi suất vay mua nhà home loan hiện tại
faq_007,Hồ sơ vay mua nhà SHB cần những gì?,"Hồ sơ vay mua nhà SHB bao gồm: (1) CMND/CCCD + Hộ khẩu; (2) Hợp đồng mua bán/giấy tờ tài sản thế chấp; (3) Giấy tờ chứng minh thu nhập: Hợp đồng lao động + 3 tháng bảng lương (đi làm công) hoặc GPKD + BCKQHĐKD 2 năm (kinh doanh); (4) Đơn đề nghị vay vốn theo mẫu ngân hàng; (5) Các giấy tờ khác theo yêu cầu thẩm định.",home loan,hồ sơ vay mua nhà giấy tờ điều kiện
faq_008,Thời gian phê duyệt vay vốn mất bao lâu?,"Thời gian phê duyệt tùy theo sản phẩm: Vay tiêu dùng tín chấp: 24-48 giờ. Vay mua xe ô tô: 24-72 giờ. Vay mua nhà: 3-7 ngày làm việc. Vay kinh doanh: 5-10 ngày làm việc. Thời gian có thể rút ngắn nếu hồ sơ đầy đủ và khách hàng có lịch sử tín dụng tốt tại SHB.",loan,thời gian phê duyệt vay vốn processing time
faq_009,Lãi suất tiết kiệm kỳ hạn 12 tháng hiện tại là bao nhiêu?,"Lãi suất tiết kiệm SHB tháng 7/2026: Kỳ hạn 12 tháng: 7.2%/năm (tại quầy), 7.4%/năm (online). Kỳ hạn 6 tháng: 6.5%/năm. Kỳ hạn 3 tháng: 5.8%/năm. Kỳ hạn 1 tháng: 4.5%/năm. Không kỳ hạn: 0.5%/năm. Lãi suất áp dụng cho khoản tiền từ 1 triệu đồng trở lên.",savings,lãi suất tiết kiệm kỳ hạn 12 tháng
faq_010,SHB có tính phí chuyển khoản không?,"Phí chuyển khoản SHB: Nội bộ SHB (qua app/internet banking): Miễn phí. Liên ngân hàng qua Napas (< 500 triệu): 1.100đ - 11.000đ tùy hạn mức. Chuyển khoản tại quầy: 0.02% số tiền (tối thiểu 10.000đ, tối đa 200.000đ). Khách hàng nhận lương qua SHB được miễn phí chuyển khoản Napas 10 giao dịch/tháng.",general,phí chuyển khoản chuyển tiền napas
