id,title,category,content,effective_date,tags
policy_001,Chính sách cấp tín dụng thẻ tín dụng cá nhân,Credit Card Policy,"SHB áp dụng chính sách cấp tín dụng thẻ tín dụng cá nhân theo quy định của NHNN và quy định nội bộ. Nguyên tắc chính: (1) Khách hàng phải có lịch sử tín dụng sạch (không có nợ nhóm 2-5 trong 24 tháng gần nhất); (2) Hạn mức thẻ tối đa không vượt quá 5 lần thu nhập tháng đối với thẻ Classic, 7 lần đối với Gold, 10 lần đối với Platinum; (3) Mỗi khách hàng tối đa 2 thẻ tín dụng SHB; (4) Phải xác minh thu nhập qua bảng lương hoặc sao kê tài khoản ngân hàng.",2025-01-01,thẻ tín dụng hạn mức cấp tín dụng điều kiện nợ xấu
policy_002,Chính sách lãi suất cho vay cá nhân,Loan Policy,"Lãi suất cho vay cá nhân tại SHB được xác định theo nguyên tắc: lãi suất cơ sở + biên độ rủi ro. Biên độ rủi ro phụ thuộc vào: điểm tín dụng CIC, lịch sử giao dịch với SHB, loại tài sản đảm bảo, thời hạn vay. Khách hàng VIP (diamond, platinum) được ưu đãi giảm 0.5-1%/năm so với lãi suất niêm yết. Lãi suất điều chỉnh 6 tháng/lần đối với vay lãi thả nổi.",2025-01-01,lãi suất cho vay điều chỉnh biên độ rủi ro VIP
policy_003,Chính sách phân loại nợ và trích lập dự phòng,Risk Policy,"SHB phân loại nợ theo Thông tư 11/2021/TT-NHNN: Nhóm 1 (Nợ đủ tiêu chuẩn): < 10 ngày quá hạn. Nhóm 2 (Nợ cần chú ý): 10-30 ngày quá hạn. Nhóm 3 (Nợ dưới tiêu chuẩn): 31-90 ngày. Nhóm 4 (Nợ nghi ngờ): 91-180 ngày. Nhóm 5 (Nợ có khả năng mất vốn): > 180 ngày. Khách hàng nợ nhóm 3 trở lên không được cấp tín dụng mới.",2025-01-01,phân loại nợ nhóm nợ xấu tín dụng rủi ro CIC
policy_004,Quy định về tài sản đảm bảo,Collateral Policy,"Tài sản đảm bảo chấp nhận tại SHB: (1) Bất động sản: Định giá qua công ty thẩm định độc lập, tài trợ tối đa 70-80% giá trị; (2) Ô tô: Xe mới tài trợ 85%, xe cũ < 5 năm tài trợ 70%, xe cũ 5-8 năm tài trợ 60%; (3) Sổ tiết kiệm: Tài trợ 95% giá trị; (4) Cổ phiếu/trái phiếu niêm yết: Tài trợ 50-70% tùy thanh khoản; (5) Hàng hóa: Tài trợ 40-60% tùy loại.",2025-01-01,tài sản đảm bảo thế chấp BĐS ô tô sổ tiết kiệm LTV
policy_005,Chính sách ưu đãi khách hàng VIP,VIP Policy,"SHB phân cấp khách hàng VIP dựa trên tổng tài sản và doanh số giao dịch: Diamond: Tổng tài sản >= 5 tỷ hoặc doanh số >= 2 tỷ/tháng. Platinum: Tổng tài sản >= 1 tỷ hoặc doanh số >= 500 triệu/tháng. Gold: Tổng tài sản >= 300 triệu hoặc doanh số >= 100 triệu/tháng. Ưu đãi VIP: Lãi suất vay ưu đãi, phí chuyển khoản miễn phí không giới hạn, ưu tiên phục vụ tại quầy, quản lý quan hệ khách hàng riêng.",2025-01-01,VIP khách hàng ưu tiên ưu đãi diamond platinum gold
policy_006,Quy trình xử lý khiếu nại giao dịch,Complaint Policy,"Quy trình xử lý khiếu nại: (1) Tiếp nhận: Hotline 1800 588 891, chi nhánh, email, app SHB Mobile; (2) Xác nhận tiếp nhận: Trong 24 giờ làm việc; (3) Điều tra: Tối đa 10 ngày làm việc (giao dịch nội địa), 30 ngày (quốc tế); (4) Phản hồi kết quả: Bằng văn bản hoặc qua kênh tiếp nhận ban đầu; (5) Hoàn tiền (nếu có): Trong 3-5 ngày làm việc sau khi xác nhận lỗi.",2025-01-01,khiếu nại giao dịch hoàn tiền xử lý complaint
policy_007,Chính sách bảo mật thông tin khách hàng,Privacy Policy,"SHB cam kết bảo mật thông tin khách hàng theo quy định pháp luật. Thông tin chỉ được sử dụng cho mục đích: cung cấp dịch vụ ngân hàng, phòng chống gian lận, tuân thủ quy định pháp luật. Không bán hoặc chia sẻ thông tin với bên thứ ba vì mục đích thương mại khi chưa có sự đồng ý của khách hàng. Khách hàng có quyền yêu cầu xem, sửa đổi, xóa thông tin cá nhân.",2025-01-01,bảo mật thông tin cá nhân quyền riêng tư GDPR
policy_008,Quy định KYC và phòng chống rửa tiền,AML Policy,"SHB thực hiện KYC (Know Your Customer) nghiêm ngặt theo Luật PCRT và quy định NHNN: (1) Xác minh danh tính: CCCD/Passport, Hộ khẩu; (2) Xác minh thu nhập và nguồn gốc tài sản; (3) Giám sát giao dịch bất thường: Giao dịch >= 300 triệu/lần phải báo cáo; (4) Từ chối mở tài khoản nếu không xác minh được danh tính; (5) Cập nhật thông tin KYC định kỳ 2 năm/lần với khách hàng rủi ro cao.",2025-01-01,KYC AML phòng chống rửa tiền xác minh danh tính
policy_009,Chính sách lãi suất tiết kiệm,Savings Policy,"Lãi suất tiết kiệm SHB được điều chỉnh theo tình hình thị trường và chỉ đạo của NHNN. Nguyên tắc: Lãi suất tối đa kỳ hạn < 6 tháng theo trần NHNN (hiện 4.75%/năm). Kỳ hạn >= 6 tháng: SHB tự quyết định nhưng phải cạnh tranh thị trường. Online savings cao hơn 0.1-0.3% so với gửi tại quầy. Lãi suất tất toán trước hạn: Bằng lãi suất không kỳ hạn tại thời điểm tất toán.",2025-01-01,lãi suất tiết kiệm kỳ hạn trần NHNN
policy_010,Quy định giao dịch ngoại tệ,FX Policy,"SHB thực hiện mua bán ngoại tệ theo quy định NHNN và biểu tỷ giá công bố hàng ngày. Các loại ngoại tệ giao dịch: USD, EUR, GBP, JPY, AUD, SGD, CNY. Hạn mức mua ngoại tệ: Cá nhân tối đa 10.000 USD/lần (không cần chứng minh mục đích dưới hạn mức này). Thanh toán quốc tế phải có chứng từ hợp lệ. Chuyển tiền ra nước ngoài theo quy định quản lý ngoại hối.",2025-01-01,ngoại tệ tỷ giá FX thanh toán quốc tế
