id,bank_name,product_name,product_type,content,shb_advantage,tags
comp_001,VPBank,VPBank Diamond Visa Infinite,Credit Card,"VPBank Diamond Visa Infinite: Hạn mức tối đa 2 tỷ đồng. Thu nhập yêu cầu >= 80 triệu/tháng. Hoàn tiền 1.5%. Miễn phí Priority Pass (6 lần/năm). Bảo hiểm du lịch 10 triệu USD. Phí thường niên 3.000.000đ/năm. Lãi suất 2%/tháng. Đối thủ trực tiếp của SHB Visa Platinum.","SHB Visa Platinum có lãi suất cạnh tranh hơn (1.75%/tháng vs 2%/tháng của VPBank Diamond). SHB không giới hạn thu nhập 80 triệu như VPBank, chỉ cần 30 triệu. Phí thường niên SHB thấp hơn (1.2 triệu vs 3 triệu). SHB đang có chương trình miễn phí năm đầu Q3/2026.",credit card premium VPBank so sánh diamond
comp_002,Techcombank,Techcombank Visa Infinite,Credit Card,"Techcombank Visa Infinite: Dành cho Techcombank Premier (tài sản >= 3 tỷ). Hạn mức không giới hạn theo thu nhập. Hoàn tiền 2% vô hạn. Concierge service 24/7. Phí thường niên miễn phí khi đạt doanh số 100 triệu/năm. Lounge access không giới hạn.","SHB Visa Platinum phù hợp hơn với khách hàng thu nhập 30-80 triệu, không yêu cầu tài sản cao như Techcombank Premier. Điểm mạnh của SHB là tiếp cận được phân khúc rộng hơn. Tuy nhiên, Techcombank Infinite có hoàn tiền 2% cao hơn SHB 1.5%.",credit card infinite techcombank so sánh premier
comp_003,BIDV,BIDV Visa Platinum,Credit Card,"BIDV Visa Platinum: Thu nhập >= 20 triệu/tháng. Hạn mức tối đa 300 triệu. Hoàn tiền 0.5% (thấp hơn thị trường). Phí thường niên 600.000đ/năm. Lãi suất 1.5%/tháng. Mạng lưới ATM rộng. Tích hợp SmartBanking.","SHB Visa Platinum có hoàn tiền cao hơn 3 lần (1.5% vs 0.5%), hạn mức cao hơn (500M vs 300M). BIDV có lợi thế lãi suất thấp hơn (1.5% vs 1.75%) và phí thường niên rẻ hơn. SHB phù hợp khách hàng chi tiêu nhiều muốn tối ưu cashback.",credit card BIDV so sánh lãi suất cashback
comp_004,Vietcombank,Vietcombank Visa Platinum,Credit Card,"Vietcombank Visa Platinum: Thương hiệu uy tín nhất Việt Nam. Thu nhập >= 25 triệu. Hạn mức 200 triệu. Hoàn tiền 0.8%. Lãi suất 1.95%/tháng. Mạng lưới chấp nhận thẻ quốc tế rộng nhất. Phí thường niên 500.000đ. Điểm thưởng tích lũy hệ sinh thái VCB.","SHB Visa Platinum có hoàn tiền gần gấp đôi Vietcombank (1.5% vs 0.8%) và hạn mức cao hơn (500M vs 200M). Vietcombank có lợi thế thương hiệu và mạng lưới chấp nhận thẻ. Đối với khách hàng mới quan tâm hoàn tiền: SHB có ưu thế rõ ràng.",credit card vietcombank so sánh thương hiệu
comp_005,MB Bank,MB Bank Credit Card,Credit Card,"MB Bank Visa Credit Card: Thu nhập >= 10 triệu. Hạn mức 100 triệu. Hoàn tiền 0.5%. Lãi suất 2.2%/tháng. Tích hợp tốt với ứng dụng MBBank. Mạnh về thanh toán QR và BNPL. Phí thường niên 300.000đ.",SHB có hạn mức cao hơn 5 lần và lãi suất thấp hơn MB Bank. MB mạnh về fintech và thanh toán số. Khách hàng ưu tiên trải nghiệm digital banking cần so sánh app SHB Mobile vs MBBank app. SHB đang đầu tư mạnh vào digital.,credit card MB Bank so sánh digital
comp_006,VPBank,VPBank Home Loan,Home Loan,"VPBank Home Loan: Lãi suất ưu đãi 7.2%/năm trong 12 tháng đầu. Tài trợ tối đa 85% giá trị BĐS. Thời hạn tối đa 25 năm. Giải ngân 1 lần hoặc theo tiến độ xây dựng. Phê duyệt 5-7 ngày làm việc. VPBank có quan hệ tốt với nhiều chủ đầu tư lớn.","SHB Home Loan Summer 2026 đang có lãi suất 6.9%/năm (thấp hơn VPBank 0.3%). SHB có ân hạn gốc 18 tháng (dài hơn VPBank thông thường 12 tháng). Cần nhấn mạnh chương trình summer 2026 của SHB đang tốt hơn VPBank trong giai đoạn này.",home loan VPBank so sánh vay mua nhà lãi suất
comp_007,Techcombank,Techcombank Personal Loan,Personal Loan,"Techcombank Personal Loan: Lãi suất từ 10%/năm. Hạn mức 15 lần thu nhập. Giải ngân trong 24h. Điều kiện: khách hàng Techcombank ZERO hoặc có tài khoản > 3 tháng. Quy trình hoàn toàn trên app F@st i-Bank.","SHB Personal Loan có lãi suất ưu đãi 9.9%/năm trong chương trình summer 2026 (thấp hơn Techcombank). Hạn mức SHB tối đa 500 triệu. Điểm yếu: SHB yêu cầu BHXH 6 tháng trong khi Techcombank linh hoạt hơn. Nên nhấn mạnh lãi suất ưu đãi và hạn mức cao.",personal loan techcombank so sánh giải ngân nhanh
comp_008,ACB,ACB Savings Deposit,Savings,"ACB Tiết kiệm: Lãi suất kỳ hạn 12 tháng 7.1%/năm (tại quầy), 7.3% (online). Gói tiết kiệm linh hoạt có thể rút một phần. Nhiều kỳ hạn ngắn với lãi suất cao. App ACB ONE hiện đại. Mạng lưới chi nhánh rộng TP.HCM và Hà Nội.","SHB tiết kiệm online 7.4%/năm cao hơn ACB online 0.1%. SHB có thêm bonus 0.3% trong chương trình tháng 7. Điểm mạnh SHB: Tổng lãi suất có thể đạt 7.7% (cao nhất thị trường hiện tại). ACB mạnh hơn về mạng lưới khu vực phía Nam.",savings ACB so sánh lãi suất tiết kiệm
comp_009,Sacombank,Sacombank Home Loan,Home Loan,"Sacombank Home Loan: Lãi suất 7.8%/năm ưu đãi 6 tháng đầu. Tài trợ 80% giá trị BĐS. Thời hạn 20 năm. Ưu đãi cho người mua nhà tại Sacombank Land. Mạnh về phân khúc BĐS vùng ven TP.HCM.",SHB Home Loan có lãi suất thấp hơn (6.9% vs 7.8%) và thời gian ưu đãi dài hơn (18 tháng vs 6 tháng). SHB phê duyệt nhanh hơn (3 ngày vs 5-7 ngày Sacombank). Đặc biệt hiệu quả khi tiếp cận khách hàng đang so sánh hai ngân hàng.,home loan sacombank so sánh BĐS lãi suất thấp
comp_010,HSBC,HSBC Premier Credit Card,Credit Card,"HSBC Premier Credit Card: Thu nhập >= 100 triệu/tháng hoặc AUM >= 5 tỷ. Hoàn tiền 2%. Lounge access không giới hạn. Dịch vụ concierge 24/7. Không giới hạn hạn mức. Dịch vụ ngân hàng quốc tế. Phí thường niên miễn phí khi duy trì Premier.","HSBC Premier yêu cầu thu nhập rất cao (100M/tháng), trong khi SHB Visa Platinum chỉ cần 30M. SHB phù hợp hơn với phân khúc thu nhập 30-100 triệu. Ưu thế SHB: Ngân hàng Việt, am hiểu nhu cầu địa phương, mạng lưới rộng 500+ chi nhánh.",credit card HSBC so sánh quốc tế premium phân khúc
