id,title,product_type,start_date,end_date,content,target_segment,tags
promo_001,Hoàn tiền 5% dịp Tết Bính Ngọ 2026,Credit Card,2026-01-15,2026-02-28,"Chương trình hoàn tiền 5% cho mọi giao dịch mua sắm tại các siêu thị, trung tâm thương mại và sàn TMĐT (Shopee, Lazada, Tiki) bằng thẻ tín dụng SHB. Hoàn tiền tối đa 500.000đ/tháng. Áp dụng cho tất cả loại thẻ. Tự động ghi vào tài khoản vào ngày cuối tháng.",Tất cả khách hàng thẻ,hoàn tiền tết mua sắm siêu thị TMĐT 5%
promo_002,Miễn phí thường niên thẻ Visa Platinum Q3/2026,Credit Card,2026-07-01,2026-09-30,"Miễn 100% phí thường niên năm đầu (trị giá 1.200.000đ) khi mở mới thẻ SHB Visa Platinum trong quý 3/2026. Điều kiện: Chi tiêu tối thiểu 5 triệu trong 3 tháng đầu để được miễn phí năm thứ 2. Áp dụng cho khách hàng chưa có thẻ Platinum tại SHB.",Khách hàng thu nhập cao,miễn phí thường niên platinum mới mở thẻ
promo_003,Lãi suất vay nhà 6.9%/năm Summer 2026,Home Loan,2026-06-01,2026-08-31,"Chương trình vay mua nhà ưu đãi SHB Summer 2026: Lãi suất chỉ 6.9%/năm trong 18 tháng đầu (thấp nhất thị trường). Ân hạn nợ gốc tối đa 18 tháng. Phê duyệt trong 3 ngày làm việc. Không phí thẩm định hồ sơ. Áp dụng cho dự án nhà ở đã có sổ hoặc xây dựng mới. Hạn mức tối đa 15 tỷ đồng.",Khách hàng mua nhà lần đầu,vay mua nhà lãi suất thấp summer 2026 ưu đãi
promo_004,Gửi tiết kiệm tặng lãi suất bonus 0.3%,Savings,2026-07-01,2026-07-31,"Chương trình gửi tiết kiệm SHB tháng 7/2026: Cộng thêm 0.3%/năm so với lãi suất niêm yết cho kỳ hạn 12 và 24 tháng. Áp dụng khi gửi qua SHB Mobile. Gửi tối thiểu 50 triệu đồng để được áp dụng lãi suất bonus. Tổng lãi suất: 7.7%/năm (kỳ hạn 12 tháng online + bonus).",Khách hàng tiết kiệm,tiết kiệm bonus lãi suất cao tháng 7
promo_005,Cashback 10% ăn uống nhà hàng,Credit Card,2026-07-01,2026-07-31,"Hoàn tiền 10% tại hơn 500 nhà hàng, quán café đối tác SHB trong tháng 7. Danh sách đối tác: The Coffee House, Highlands, CGV, Pizza 4P's, Gogi, Buffet Tokyo... Hoàn tối đa 300.000đ/khách hàng/tháng. Chi tiêu tối thiểu 200.000đ/hóa đơn. Áp dụng cho thẻ Gold và Platinum.",Khách hàng trẻ chi tiêu ẩm thực,cashback nhà hàng ăn uống café giảm giá
promo_006,Giới thiệu bạn bè nhận 500K,Referral,2026-01-01,2026-12-31,"Chương trình Refer A Friend thường niên 2026: Khi bạn giới thiệu 1 người mở tài khoản và/hoặc thẻ tín dụng mới tại SHB, bạn nhận 200.000đ/người. Người được giới thiệu nhận 300.000đ vào tài khoản sau khi kích hoạt dịch vụ. Không giới hạn số người giới thiệu. Điều kiện: Người mới phải duy trì tài khoản 3 tháng.",Tất cả khách hàng,giới thiệu bạn bè referral thưởng
promo_007,Vay tín chấp lãi suất 9.9%/năm,Personal Loan,2026-07-01,2026-08-31,"SHB ưu đãi vay tiêu dùng tín chấp với lãi suất chỉ 9.9%/năm cho 12 tháng đầu (thay vì 10.5%/năm thông thường). Áp dụng cho khách hàng nhận lương qua SHB hoặc có tài khoản > 6 tháng. Giải ngân trong 24h. Hạn mức tối đa 500 triệu. Miễn phí trả nợ trước hạn từ tháng 13.",Khách hàng nhận lương SHB,vay tín chấp lãi suất thấp mùa hè giải ngân nhanh
promo_008,Hoàn tiền du lịch quốc tế Visa Platinum,Credit Card,2026-06-01,2026-08-31,"Chương trình Summer Travel 2026: Hoàn tiền 3% cho mọi giao dịch quốc tế bằng thẻ Visa Platinum (ăn uống, khách sạn, vé máy bay). Tặng thêm 2 lần truy cập phòng chờ sân bay miễn phí/tháng (thêm từ tiêu chuẩn 4 lần/tháng). Hoàn tối đa 2.000.000đ trong chương trình.",Khách hàng đi du lịch nước ngoài,du lịch quốc tế hoàn tiền visa platinum sân bay
promo_009,Mở tài khoản tặng tiền 200K,Account Opening,2026-07-01,2026-09-30,"Mở tài khoản thanh toán mới tại SHB và thực hiện 1 giao dịch chuyển khoản trong 30 ngày đầu để nhận ngay 200.000 đồng vào tài khoản. Điều kiện: Chưa có tài khoản SHB, xác thực eKYC thành công, duy trì số dư tối thiểu 500.000 trong 3 tháng.",Khách hàng mới,mở tài khoản mới tặng tiền thưởng welcome bonus
promo_010,Đầu tư quỹ hoàn phí giao dịch,Investment,2026-07-01,2026-12-31,"SHB hoàn 100% phí quản lý quỹ (0.5%/năm) trong 6 tháng đầu cho khách hàng đầu tư lần đầu vào Quỹ SHB-Dragon Capital qua app SHB Mobile. Khoản đầu tư tối thiểu 5 triệu đồng. Ưu đãi chỉ áp dụng 1 lần/khách hàng.",Khách hàng đầu tư lần đầu,đầu tư quỹ miễn phí first time investor
