id,title,category,content,tags
prod_001,Tiết kiệm có kỳ hạn thông thường,Savings,"Sản phẩm tiết kiệm có kỳ hạn cơ bản tại SHB dành cho mọi đối tượng khách hàng. Gửi tối thiểu 1 triệu đồng. Các kỳ hạn: 1, 2, 3, 6, 9, 12, 18, 24, 36 tháng. Lãi suất tháng 7/2026: 1 tháng 4.5%/năm, 3 tháng 5.8%/năm, 6 tháng 6.5%/năm, 12 tháng 7.2%/năm, 24 tháng 7.0%/năm, 36 tháng 6.8%/năm. Lãnh lãi cuối kỳ hoặc hàng tháng (lãi suất thấp hơn 0.1-0.2% nếu lãnh hàng tháng). Tự động tái tục khi đáo hạn theo lãi suất hiện hành. Tất toán trước hạn hưởng lãi suất không kỳ hạn (0.5%/năm). Bảo hiểm tiền gửi theo quy định Nhà nước tối đa 125 triệu đồng.",tiết kiệm kỳ hạn lãi suất an toàn bảo hiểm tiền gửi tái tục
prod_002,Tiết kiệm Online (SHB Mobile / Internet Banking),Savings,"Sản phẩm tiết kiệm giao dịch hoàn toàn qua kênh số SHB Mobile hoặc Internet Banking. Lãi suất cao hơn 0.1-0.3%/năm so với gửi tại quầy. Lãi suất tháng 7/2026: 6 tháng 6.7%/năm, 12 tháng 7.4%/năm, 24 tháng 7.2%/năm. Gửi tối thiểu 500.000 đồng. Không giới hạn số lượng sổ tiết kiệm. Quản lý và theo dõi trực tuyến 24/7. Không cần đến chi nhánh. Phù hợp cho khách hàng thành thạo công nghệ và muốn tối ưu lãi suất.",tiết kiệm online digital banking lãi suất cao SHB Mobile Internet Banking
prod_003,Tiết kiệm Lộc Phát (Lĩnh lãi hàng tháng),Savings,"Sản phẩm tiết kiệm dành cho khách hàng muốn có thu nhập thụ động đều đặn hàng tháng. Lãi được chuyển vào tài khoản thanh toán vào ngày đầu mỗi tháng. Kỳ hạn: 6, 12, 24, 36 tháng. Lãi suất lĩnh hàng tháng (tháng 7/2026): 6 tháng 6.3%/năm, 12 tháng 7.0%/năm, 24 tháng 6.8%/năm. Gửi tối thiểu 5 triệu đồng. Phù hợp cho người về hưu, người sống bằng thu nhập lãi suất, hoặc khách hàng cần dòng tiền định kỳ.",tiết kiệm lộc phát lãnh lãi hàng tháng thu nhập thụ động hưu trí
prod_004,Tiết kiệm Linh hoạt (Rút một phần),Savings,"Sản phẩm tiết kiệm cho phép rút một phần vốn trước hạn mà không ảnh hưởng đến phần còn lại. Phần rút trước hạn hưởng lãi suất không kỳ hạn. Phần giữ lại vẫn hưởng lãi suất kỳ hạn ban đầu. Kỳ hạn: 6, 12 tháng. Lãi suất: 6 tháng 6.2%/năm, 12 tháng 7.0%/năm. Gửi tối thiểu 10 triệu đồng. Mỗi lần rút tối thiểu 1 triệu đồng, số dư tối thiểu còn lại 5 triệu đồng. Rất phù hợp cho khách hàng chưa chắc chắn về thời hạn dùng tiền.",tiết kiệm linh hoạt rút một phần không mất lãi an toàn dự phòng
prod_005,Tiết kiệm Tích lũy định kỳ (Góp hàng tháng),Savings,"Sản phẩm tiết kiệm dành cho khách hàng muốn tích lũy tài sản dần dần. Khách hàng cam kết gửi thêm một khoản cố định mỗi tháng. Số tiền gửi hàng tháng tối thiểu 500.000 đồng. Kỳ hạn tích lũy: 12, 24, 36, 60 tháng. Lãi suất ưu đãi hơn 0.2%/năm so với tiết kiệm thông thường cùng kỳ hạn. Lãi suất 12 tháng: 7.4%/năm, 24 tháng: 7.2%/năm, 36 tháng: 7.0%/năm. Tích lũy tự động từ tài khoản thanh toán vào ngày chỉ định. Phù hợp cho mục tiêu tài chính dài hạn: mua nhà, du học, hưu trí.",tiết kiệm tích lũy định kỳ góp tháng mục tiêu tài chính mua nhà du học
prod_006,Tiết kiệm Trực tuyến Bonus (Chương trình tháng 7/2026),Savings,"Chương trình đặc biệt tháng 7/2026: Gửi tiết kiệm online kỳ hạn 12 hoặc 24 tháng được cộng thêm 0.3%/năm so với lãi suất niêm yết. Lãi suất thực nhận: 12 tháng 7.7%/năm (cao nhất thị trường hiện tại), 24 tháng 7.5%/năm. Điều kiện: Gửi tối thiểu 50 triệu đồng qua SHB Mobile. Chỉ áp dụng từ 01/07/2026 đến 31/07/2026. Mỗi khách hàng được áp dụng tối đa 3 sổ tiết kiệm trong chương trình. Lãi suất bonus được áp dụng cho toàn bộ kỳ hạn.",tiết kiệm bonus lãi suất cao nhất tháng 7 khuyến mãi 7.7% online
prod_007,Tiết kiệm USD (Ngoại tệ),Savings,"Sản phẩm tiết kiệm bằng ngoại tệ USD dành cho khách hàng có nguồn thu nhập ngoại tệ hoặc muốn đa dạng hóa danh mục. Kỳ hạn: 1, 3, 6, 12 tháng. Lãi suất (tháng 7/2026): 1 tháng 0.1%/năm, 3 tháng 0.2%/năm, 6 tháng 0.3%/năm, 12 tháng 0.5%/năm (theo trần NHNN). Gửi tối thiểu 200 USD. Tất toán nhận lại bằng USD hoặc quy đổi VND theo tỷ giá tại thời điểm đáo hạn. Lưu ý: lãi suất USD rất thấp theo quy định NHNN, phù hợp mục đích bảo quản ngoại tệ hơn là sinh lời.",tiết kiệm ngoại tệ USD đô la bảo quản ngoại tệ đa dạng hóa
prod_008,Tiết kiệm Vàng (SHB Gold Saving),Savings,"Sản phẩm tiết kiệm quy đổi theo giá vàng SJC. Gửi bằng VND, hưởng lãi suất và tất toán theo giá vàng tại thời điểm đáo hạn. Kỳ hạn: 3, 6, 12 tháng. Lãi suất tính trên gram vàng: 3 tháng 0.3%/năm, 6 tháng 0.5%/năm, 12 tháng 0.8%/năm. Gửi tối thiểu tương đương 1 chỉ vàng SJC. Khách hàng được hưởng lợi nhuận từ tăng giá vàng + lãi suất. Phù hợp khách hàng muốn phòng ngừa lạm phát và đa dạng tài sản. Rủi ro: Nếu giá vàng giảm, giá trị tất toán có thể thấp hơn số tiền gửi ban đầu.",tiết kiệm vàng SJC phòng ngừa lạm phát tài sản vàng rủi ro
prod_009,Tiết kiệm VIP (Dành cho khách hàng ưu tiên),Savings,"Sản phẩm tiết kiệm đặc quyền dành riêng cho khách hàng VIP (Gold, Platinum, Diamond) tại SHB. Lãi suất ưu đãi cao hơn biểu lãi thông thường: Gold +0.1%/năm, Platinum +0.2%/năm, Diamond +0.3%/năm. Ví dụ Diamond 12 tháng: 7.5%/năm. Được phục vụ tại phòng VIP riêng biệt. Không yêu cầu số tiền tối thiểu (chỉ cần đạt hạng VIP). Tặng quà tri ân theo giá trị gửi tại các dịp lễ, Tết. Quản lý tài sản cá nhân bởi Relationship Manager chuyên trách.",tiết kiệm VIP ưu tiên diamond platinum gold relationship manager đặc quyền
prod_010,Tiết kiệm Doanh nghiệp (Tổ chức),Savings,"Sản phẩm tiết kiệm dành cho pháp nhân, doanh nghiệp, tổ chức có vốn nhàn rỗi ngắn hạn. Kỳ hạn: 1 tuần, 2 tuần, 1 tháng, 3 tháng, 6 tháng, 12 tháng. Lãi suất thỏa thuận theo quy mô tiền gửi (từ 1 tỷ trở lên). Lãi suất cạnh tranh, tốt hơn tiết kiệm cá nhân với cùng kỳ hạn. Linh hoạt rút trước hạn theo điều khoản hợp đồng. Phù hợp doanh nghiệp quản lý dòng tiền theo chu kỳ kinh doanh. Cần ký hợp đồng tiền gửi riêng với chi nhánh SHB.",tiết kiệm doanh nghiệp pháp nhân tổ chức lãi suất thỏa thuận quản lý dòng tiền
