id,title,product_type,scenario,guideline_steps,tips,tags
guide_001,Quy trình tư vấn thẻ tín dụng từ đầu đến chốt sale,Credit Card,Khách hàng quan tâm thẻ tín dụng lần đầu,"Bước 1 - Khám phá nhu cầu (2-3 phút): Hỏi mục đích sử dụng thẻ (mua sắm hàng ngày, du lịch, online, hay kinh doanh). Bước 2 - Xác nhận điều kiện (1-2 phút): Thu nhập hiện tại? Đã có thẻ tín dụng tại ngân hàng nào chưa? Bước 3 - Đề xuất sản phẩm phù hợp: Classic nếu thu nhập 7-15M, Gold nếu 15-30M, Platinum nếu >30M. Bước 4 - Trình bày lợi ích nổi bật: Tập trung 2-3 benefit chính phù hợp nhu cầu đã khám phá. Bước 5 - Xử lý từ chối: Lắng nghe, xác nhận lo ngại, đưa ra giải pháp cụ thể. Bước 6 - Chốt hồ sơ: Hướng dẫn hồ sơ cần thiết và booking lịch nộp.","Luôn hỏi về thói quen chi tiêu trước khi giới thiệu sản phẩm. Đừng cố bán Platinum khi khách hàng chưa cần - gây mất lòng tin. Nhấn mạnh chương trình miễn phí năm đầu (Q3/2026) nếu đang có. Demo trực tiếp trên app SHB Mobile để tăng tin tưởng.",credit card sales process tư vấn chốt sale
guide_002,Xử lý phản đối 'Lãi suất thẻ tín dụng cao quá',Credit Card,Khách hàng phàn nàn lãi suất thẻ tín dụng cao,"Bước 1 - Đồng cảm: 'Anh/chị hoàn toàn đúng, lãi suất thẻ tín dụng cao hơn vay ngân hàng thông thường.' Bước 2 - Giải thích lý do: Thẻ tín dụng cho phép tiêu trước trả sau 45 ngày KHÔNG LÃI. Nếu thanh toán đúng hạn, thực tế chi phí = 0. Bước 3 - Tính toán thực tế: Ví dụ chi tiêu 10 triệu/tháng, luôn trả đủ = tiết kiệm được 10 triệu không mất cơ hội đầu tư. Bước 4 - Nhấn mạnh cashback: 1.5% hoàn tiền tương đương giảm chi phí hiệu quả 1.5%/tháng. Bước 5 - Hướng dẫn tránh lãi: Cài Auto-debit thanh toán tối thiểu hoặc toàn bộ dư nợ.",Không tranh luận về con số. Chuyển hướng từ 'lãi suất cao' sang 'thời gian miễn lãi 45 ngày'. Dùng ví dụ cụ thể với số tiền của khách hàng để thuyết phục.,credit card objection handling lãi suất phản đối
guide_003,Tư vấn vay mua nhà - Khách hàng đang tìm hiểu,Home Loan,Khách hàng đang cân nhắc vay mua nhà,"Bước 1 - Xác định giai đoạn: Đã chọn được nhà chưa hay đang xem? Dự kiến ngân sách bao nhiêu? Bước 2 - Tính toán khả năng vay: Thu nhập * 10 lần = hạn mức tối đa (quy tắc nhanh). Đảm bảo trả hàng tháng không quá 40% thu nhập. Bước 3 - Giới thiệu ưu đãi: Chương trình Summer 2026 - lãi suất 6.9%/năm. Nhấn mạnh ân hạn gốc 18 tháng giúp giảm áp lực ban đầu. Bước 4 - Hướng dẫn chuẩn bị hồ sơ: CCCD, hộ khẩu, hợp đồng mua bán, chứng minh thu nhập, giấy tờ tài sản. Bước 5 - Booking thẩm định: Đặt lịch ngay - phê duyệt trong 3 ngày làm việc.",Luôn tính toán cụ thể số tiền vay tối đa và số tiền trả hàng tháng để khách hàng có cái nhìn thực tế. Đề cập ân hạn gốc 18 tháng - đây là điểm khác biệt lớn so với đối thủ.,home loan tư vấn vay nhà khám phá nhu cầu
guide_004,Tư vấn chuyển đổi khách hàng tiết kiệm sang đầu tư,Investment,Khách hàng có tiết kiệm lớn muốn sinh lời cao hơn,"Bước 1 - Hiểu profile rủi ro: Hỏi 3 câu hỏi: 'Anh/chị có thể chấp nhận giảm 10% vốn trong ngắn hạn không? Thời gian đầu tư dự kiến bao lâu? Mục tiêu: bảo toàn vốn hay tăng trưởng?' Bước 2 - Phân tích tình trạng hiện tại: Lãi suất tiết kiệm 7.4%/năm. Lạm phát thực 4-5% → Lợi nhuận thực chỉ 2-3%. Bước 3 - Giới thiệu giải pháp: Quỹ SHB-Dragon Capital kỳ vọng 10-15%/năm. Nhấn mạnh ưu đãi miễn phí quản lý quỹ 6 tháng. Bước 4 - Phân bổ hợp lý: Đề xuất giữ 70% tiết kiệm, 30% đầu tư quỹ để cân bằng rủi ro. Bước 5 - Theo dõi và báo cáo: Hẹn gặp định kỳ 3 tháng để review.",Không ép khách chuyển toàn bộ sang đầu tư. Phân bổ từng bước tạo lòng tin. Nhấn mạnh rủi ro rõ ràng để tránh khiếu nại sau này.,investment savings upsell đầu tư quỹ profile rủi ro
guide_005,Cross-selling thẻ tín dụng cho khách hàng vay vốn,Credit Card,Khách hàng vừa giải ngân vay tiêu dùng,"Bước 1 - Thời điểm vàng: Sau khi hồ sơ vay được phê duyệt, khách hàng đang vui và tin tưởng ngân hàng. Bước 2 - Mở đầu tự nhiên: 'Chúc mừng anh/chị đã được phê duyệt khoản vay. Nhân tiện, em muốn chia sẻ thêm một sản phẩm giúp anh/chị quản lý chi tiêu tốt hơn.' Bước 3 - Liên kết với nhu cầu: Nếu vay tiêu dùng → thẻ tín dụng giúp kiểm soát chi tiêu, có 45 ngày không lãi. Bước 4 - Đơn giản hóa thủ tục: 'Hồ sơ của anh/chị đã đầy đủ, em chỉ cần thêm 1 form đăng ký thẻ là xong.' Bước 5 - Không ép: Nếu khách từ chối, để lại brochure và hẹn lần sau.",Cross-selling thành công nhất khi khách hàng đang trong trạng thái tích cực. Không bao giờ cross-sell khi khách đang phàn nàn hoặc có vấn đề xử lý.,cross-selling thẻ tín dụng khách hàng vay upsell
guide_006,Giữ chân khách hàng định tất tất tiết kiệm,Retention,Khách hàng gọi hỏi về tất toán tiết kiệm trước hạn,"Bước 1 - Không phán xét: 'Dạ em hiểu anh/chị đang có nhu cầu. Cho em hỏi thêm một chút để có thể hỗ trợ tốt nhất.' Bước 2 - Tìm hiểu lý do: Cần tiền mặt gấp? Thấy lãi suất nơi khác cao hơn? Hay có kế hoạch sử dụng khác? Bước 3 - Đưa ra giải pháp thay thế: Nếu cần tiền gấp: Giải thích phí tất toán trước hạn và đề nghị vay cầm cố sổ tiết kiệm (lãi suất 1-2%). Nếu muốn lãi cao hơn: Chia sẻ chương trình bonus 0.3%/tháng 7. Bước 4 - Tính toán so sánh: Phí tất toán vs lợi nhuận còn lại = cho khách tự thấy. Bước 5 - Quyết định của khách: Tôn trọng quyết định, duy trì mối quan hệ.",Mục tiêu không phải giữ bằng mọi giá mà là đề xuất giải pháp thực sự tốt hơn cho khách. Giải pháp vay cầm cố sổ tiết kiệm thường hiệu quả 80% trường hợp.,retention tiết kiệm tất toán giữ chân khách hàng
guide_007,Tiếp cận khách hàng mới qua sự kiện doanh nghiệp,Prospecting,Khách hàng tiềm năng chưa có quan hệ với SHB,"Bước 1 - Chuẩn bị: Nghiên cứu ngành nghề và quy mô doanh nghiệp. Chuẩn bị 2-3 sản phẩm phù hợp nhất. Bước 2 - Mở đầu không bán hàng: Chia sẻ insight về ngành, hỏi về thách thức hiện tại. Xây dựng uy tín chuyên môn. Bước 3 - Khám phá pain point: Hỏi về vấn đề quản lý dòng tiền, thanh toán nhân viên, vay vốn kinh doanh. Bước 4 - Giới thiệu nhẹ nhàng: 'Thực ra SHB có giải pháp cho vấn đề này, để em chia sẻ nhanh...' Bước 5 - Call to action: Đặt lịch tư vấn 30 phút tại văn phòng khách hàng. Không cố chốt ngay tại sự kiện.",Lắng nghe nhiều hơn nói. Mục tiêu buổi đầu là có được buổi gặp thứ hai. Trao đổi danh thiếp và follow up bằng tin nhắn trong 24h.,prospecting tiếp cận khách hàng mới doanh nghiệp sự kiện
guide_008,Xử lý khách hàng so sánh với ngân hàng đối thủ,Objection Handling,Khách hàng nói ngân hàng khác tốt hơn,"Bước 1 - Ghi nhận và tôn trọng: 'Dạ anh/chị hoàn toàn có lý khi muốn so sánh các lựa chọn.' Không nói xấu đối thủ trực tiếp. Bước 2 - Tìm hiểu cụ thể: Hỏi ngân hàng nào và ưu điểm cụ thể là gì (lãi suất? phí? dịch vụ?). Bước 3 - Đối chiếu có cơ sở: Dùng thông tin competitor đã chuẩn bị để so sánh khách quan. Ví dụ: 'VPBank Diamond yêu cầu 80M/tháng, SHB chỉ cần 30M mà hạn mức tương đương.' Bước 4 - Nhấn mạnh USP của SHB: Mạng lưới rộng 500+ chi nhánh, chương trình ưu đãi hiện tại, lãi suất cạnh tranh. Bước 5 - Không ép buộc: Để khách có thời gian cân nhắc, hẹn follow up sau 3 ngày.",Luôn chuẩn bị thông tin 3-5 đối thủ chính. Không cần thắng mọi điểm so sánh - chỉ cần thắng điểm quan trọng nhất với khách hàng đó.,objection handling so sánh đối thủ cạnh tranh
guide_009,Tư vấn gói vay tổng thể cho khách hàng mua nhà lần đầu,Home Loan,Khách hàng trẻ 28-35 tuổi mua nhà lần đầu,"Bước 1 - Cảm thông: Hiểu đây là quyết định lớn nhất trong cuộc đời nhiều người. Tạo không khí thoải mái, không áp lực. Bước 2 - Tính toán tổng chi phí: Giá nhà - Tiền dành dụm = Số tiền cần vay. Tính trả hàng tháng theo các kịch bản vay (15, 20, 25 năm). Bước 3 - Giải thích ân hạn gốc: 18 tháng ân hạn gốc = chỉ trả lãi → giảm áp lực ban đầu khi dọn về nhà mới. Bước 4 - Gợi ý bảo hiểm nhân thọ kết hợp: SHB Protect bảo vệ khoản vay nếu có rủi ro. Bước 5 - Trình bày timeline rõ ràng: Nộp hồ sơ → Thẩm định → Phê duyệt → Giải ngân (7-14 ngày toàn bộ).","Khách hàng trẻ mua nhà lần đầu thường lo lắng và không hiểu rõ quy trình. Vai trò của sales là educator trước, seller sau. Cung cấp checklist hồ sơ bằng văn bản giúp khách hàng chuẩn bị đúng.",home loan first-time buyer tư vấn toàn diện trẻ
guide_010,Follow-up và chăm sóc khách hàng sau bán,Customer Retention,Khách hàng đã sử dụng sản phẩm >= 1 tháng,"Bước 1 - Check-in định kỳ: Gọi điện/nhắn tin sau 1 tháng, 3 tháng, 6 tháng. Hỏi trải nghiệm sử dụng sản phẩm. Bước 2 - Chủ động thông báo ưu đãi: Gửi thông tin chương trình khuyến mãi phù hợp profile khách hàng. Bước 3 - Giải quyết vấn đề sớm: Nếu khách hàng có vướng mắc nhỏ, giải quyết trực tiếp không cần qua hotline. Bước 4 - Upsell có thời điểm: Sau 3 tháng ổn định, giới thiệu sản phẩm bổ sung phù hợp. Bước 5 - Xin referral: Khách hàng hài lòng là nguồn referral tốt nhất. Hỏi tự nhiên sau khi đã tạo giá trị.",Chăm sóc sau bán là nguồn doanh số tốt nhất và rẻ nhất. Mỗi khách hàng hài lòng trung bình mang đến 2-3 referral trong năm đầu.,customer retention follow-up chăm sóc sau bán referral
